Amplitude,Frequency,Phase,Negative Peak,Peak to Peak,Positive Peak,Arithmetic Mean,RMS,Standard Dev,Variance,Kurtosis,Median,Mode,Skewness,Classe
22.268729,0.000832,128.012349,-2.253733,-148.428892,262.969106,114.540215,35.372956,35.30445,1246.404195,3.655153,0.916713,5.408036,-0.477799,Open
1.715128,0.086066,37.691453,0.001687,-20.98969,41.678673,20.688983,4.81598,4.816504,23.198709,3.360973,-0.03382,-1.192321,-0.000883,Close
17.301443,0.000781,193.432463,0.697205,-136.342887,262.392701,126.049814,34.395816,34.393119,1182.886613,3.797633,2.15913,-3.834573,-0.304447,Open
18.146084,0.000606,-93.727765,2.832672,-124.558816,263.112266,138.55345,34.241708,34.130843,1164.914459,4.19747,4.204443,5.681756,-0.142619,Open
2.854739,0.080532,-80.377657,0.003937,-14.302682,28.732457,14.429775,4.776833,4.778046,22.829721,2.995725,-0.003762,1.069182,-0.001375,Close
21.620895,0.001459,36.914856,5.480984,-87.554083,209.537639,121.983556,29.971744,29.47756,868.926566,4.499786,5.26904,-0.595963,-0.067554,Open
35.885574,0.007953,46.333119,-12.191549,-87.58165,250.483684,162.902033,48.822483,47.311872,2238.413191,4.558432,-28.466534,-38.737332,1.297439,Open
16.598495,0.004342,64.724111,-0.93327,-79.515114,235.108337,155.593223,34.77705,34.773361,1209.186655,6.069579,-1.687472,8.650513,1.122111,Open
1.555565,0.091296,-45.942055,-0.002092,-13.078458,25.739654,12.661197,2.775826,2.776354,7.708142,4.682718,-0.010235,-0.079932,0.001806,Close
20.174617,0.004669,-17.529052,1.293932,-87.529351,244.836551,157.3072,31.59999,31.578301,997.189102,5.185208,1.25305,11.629452,0.600285,Open
1.114635,0.085528,-65.992252,-0.000489,-10.611605,20.965418,10.353813,2.74235,2.742698,7.522392,3.405086,-0.009554,-0.233723,-0.000254,Close
22.421644,0.004244,-51.835288,-0.566701,-102.061228,261.208969,159.147741,33.740233,33.739148,1138.330082,4.581665,-2.096649,-9.332044,0.324688,Open
21.675361,0.000633,21.118603,-1.294366,-109.957097,268.900122,158.943024,36.005153,35.984928,1294.915017,4.221323,-2.218726,1.636453,0.224527,Open
1.109395,0.086836,11.626507,0.000122,-11.630118,23.47318,11.843062,2.856426,2.856643,8.160412,3.286419,0.012077,-0.010894,-0.000558,Close
15.694012,0.000805,-211.194356,0.37377,-117.254484,270.708413,153.45393,36.775503,36.776152,1352.485324,3.973103,0.828901,-2.203408,0.140566,Open
17.744784,0.003657,-71.952203,-0.791973,-118.140779,272.818457,154.677678,35.152435,35.145573,1235.211274,4.226989,-0.359445,0.53525,0.272618,Open
10.622039,0.001086,-90.309547,-0.615412,-116.37881,275.815721,159.436911,34.095008,34.091186,1162.208954,4.261028,1.360714,6.359186,0.238809,Open
0.862527,0.078097,144.399492,0.000256,-10.092216,20.059207,9.966991,2.818854,2.818997,7.946745,3.204395,0.000993,0.037684,-3.82E-05,Close
10.301485,0.000642,-237.017015,-0.859818,-115.483223,276.428312,160.945089,33.300119,33.290829,1108.279303,4.308265,1.616738,13.055942,0.192144,Open
11.527619,0.000599,121.503956,-1.014007,-114.888622,267.700531,152.811908,33.746084,33.732988,1137.914513,3.899191,1.499399,12.26913,0.080397,Open
